ID,Razón Social,NIT,Sector,Vacantes Encontradas,Última Vacante,Email Encontrado,Teléfono Encontrado,Estado
"282","Quantum Data Processing De Colombia S A S","","",0,"","","","Sin vacantes"
"283","Garrido Asociados Ltda","","",0,"","","","Sin vacantes"
"284","Financiera juriscoop s.a. Compania de financiamien","","",0,"","","","Sin vacantes"
"285","UNIVERSIDAD AUTONOMA DE BUCARAMANGA","","",0,"","","","Sin vacantes"
"286","COMPANIA COLOMBIANA AUTOMOTRIZ S A C C A EN LIQUID","","",0,"","","","Sin vacantes"
"287","Credivalores Crediservicios SAS","","",0,"","","","Sin vacantes"
"288","Instituto de Planificacion y Promocion de Solucion","","",0,"","","","Sin vacantes"
"289","Aguazul Bogota S.A. ESP","","",0,"","","","Sin vacantes"
"290","HERNANDO CAMARGO PEDRAZA SAS","","",0,"","","","Sin vacantes"
"291","Instituto Colombiano para la Evaluacion de la Educ","","",0,"","","","Sin vacantes"
"292","Efigas S.A. E.S.P.","","",0,"","","","Sin vacantes"
"293","Universidad Del Rosario","","",0,"","","","Sin vacantes"
"294","Instituto Colombiano Agropecuario","","",0,"","","","Sin vacantes"
"295","Federacion De Aseguradores Colombianos Fasecolda","","",0,"","","","Sin vacantes"
"296","Interoil Colombia Exploration and Production","","",0,"","","","Sin vacantes"
"297","QUIPUX S.A.S.","","",0,"","","","Sin vacantes"
"298","CRM Direct Plus SAS","","",0,"","","","Sin vacantes"
"299","Colfondos","","",0,"","","","Sin vacantes"
"300","Thomas Greg & Sons Limited (Guernsey) S.A.","","",0,"","","","Sin vacantes"
"301","FINSOCIAL COL S.A.S","","",0,"","","","Sin vacantes"
"302","EMPRESA DE ENERGIA DE BOYACA S.A. ESP","","",0,"","","","Sin vacantes"
"303","Banco Falabella S.A","","",0,"","","","Sin vacantes"
"304","PROGR NACIO UNID PARA DESAR PROY PNUD/COL","","",0,"","","","Sin vacantes"
"305","EMPRESA DE GASES DE OCCIDENTE S A EMPRESA DE SERVI","","",0,"","","","Sin vacantes"
"306","CORREDORES ASOCIADOS S A COMISIONISTA DE BOLSA","","",0,"","","","Sin vacantes"
"307","Gases de Occidente S.A. E.S.P.","","",0,"","","","Sin vacantes"
"308","Union Temporal Fase II","","",0,"","","","Sin vacantes"
"309","TITAN INTERCONTINENTAL S.A.","","",0,"","","","Sin vacantes"
"310","INSTITUTO COLOMBIANO DE CRÉDITO EDUCATIVO Y ESTUD","","",0,"","","","Sin vacantes"
"311","AGFA HEALTCARE COLOMBIA LTDA","","",0,"","","","Sin vacantes"
"312","FUNDACION UNIVERSITARIA KONRAD LORENZ","","",0,"","","","Sin vacantes"
"313","Federacion Nacional De Comerciantes Fenalco","","",0,"","","","Sin vacantes"
"314","Corporacion Autonoma Regional De Cundinamarca Car","","",0,"","","","Sin vacantes"
"315","Contact Center Americas S.A.","","",0,"","","","Sin vacantes"
"316","ECI Telecom SurAmerica LTDA","","",0,"","","","Sin vacantes"
"317","Alcaldía Mayor de Bogotá","","",0,"","","","Sin vacantes"
"318","BIOENERGY S.A.","","",0,"","","","Sin vacantes"
"319","Centro De Radio Y Television Cratel C.A.","","",0,"","","","Sin vacantes"
"320","EMPRESA SOCIAL DEL ESTADO - METROSALUD","","",0,"","","","Sin vacantes"
"321","UNE EPMBOGOTA S.A.","","",0,"","","","Sin vacantes"
"322","Productive business solutions (aruba) n.v.","","",0,"","","","Sin vacantes"
"323","BRINKS DE COLOMBIA S.A.","","",0,"","","","Sin vacantes"
"324","Toyota de Colombia S.A.","","",0,"","","","Sin vacantes"
"325","Cam Colombia Multiservicios SAS","","",0,"","","","Sin vacantes"
"326","everis Colombia Ltda.","","",0,"","","","Sin vacantes"
"327","Instituto Colombiano de Normas Tecnicas","","",0,"","","","Sin vacantes"
"328","EQUIELECT S.A.S","","",0,"","","","Sin vacantes"
"329","DEPARTAMENTO DE ANTIOQUIA","","",0,"","","","Sin vacantes"
"330","CITIBANK COLOMBIA","","",0,"","","","Sin vacantes"
"331","Camara De Comercio De Barranquilla","","",0,"","","","Sin vacantes"
"332","ACCION S.A.","","",0,"","","","Sin vacantes"
"333","PARMALAT COLOMBIA LTDA","","",0,"","","","Sin vacantes"
"334","DALASE S.A.","","",0,"","","","Sin vacantes"
"335","Lazus Colombia S.A.S.","","",0,"","","","Sin vacantes"
"336","MANUELITA S A","","",0,"","","","Sin vacantes"
"337","SMURFIT CARTON DE COLOMBIA S.A.","","",0,"","","","Sin vacantes"
"338","San Antonio Internacional","","",0,"","","","Sin vacantes"
"339","JJ Pita Y Cia SA","","",0,"","","","Sin vacantes"
"340","Asociacion Mutual La Esperanza Asmet Salud Ess Eps","","",0,"","","","Sin vacantes"
"341","Delima Marsh","","",0,"","","","Sin vacantes"
"342","Corporacion Universitaria Iberoamericana","","",0,"","","","Sin vacantes"
"343","CELSIA S.A. E. S. P","","",0,"","","","Sin vacantes"
"344","Corporacion Universitaria Minuto De Dios","","",0,"","","","Sin vacantes"
"345","Soft Bolivar S.A.","","",0,"","","","Sin vacantes"
"346","DIRECCION DE DESARROLLO ADMINISTRATIVO","","",0,"","","","Sin vacantes"
"347","DEPARTAMENTO DE CUNDINAMARCA","","",0,"","","","Sin vacantes"
"348","DIRECCION DE INTELIGENCIA","","",0,"","","","Sin vacantes"
"349","COLTEFINANCIERA","","",0,"","","","Sin vacantes"
"350","Legis S.A.","","",0,"","","","Sin vacantes"
"351","Telecafe","","",0,"","","","Sin vacantes"
"352","SEGUROS ALFA S.A.","","",0,"","","","Sin vacantes"
"353","El Colombiano SA Y CIA SCA","","",0,"","","","Sin vacantes"
"354","Bayer CropScience S.A.","","",0,"","","","Sin vacantes"
"355","BBVA BANCO GANADERO S.A.","","",0,"","","","Sin vacantes"
"356","Empresa Industrial Y Comercial Del Estado Administ","","",0,"","","","Sin vacantes"
"357","LineaDatascan SA","","",0,"","","","Sin vacantes"
"358","AES Chivor & Cia SCA ESP","","",0,"","","","Sin vacantes"
"359","CAJA DE COMPENSACION FAMILIAR COMFENALCO DEL VALLE","","",0,"","","","Sin vacantes"
"360","Ferrocarriles Del Norte De Colombia S.A. (FENOCO S","","",0,"","","","Sin vacantes"
"361","Processa SAS","","",0,"","","","Sin vacantes"
"362","Promigas S A E S P","","",0,"","","","Sin vacantes"
"363","Oxigenos De Colombia Ltda","","",0,"","","","Sin vacantes"
